OrderID,CustomerID,OrderDate,Amount
3472,CUST0400,2025-06-30,1268.19
4214,CUST0476,2025-06-30,861.13
3084,CUST0356,2025-06-30,388.99
3104,CUST0359,2025-06-30,1421.27
848,CUST0092,2025-06-30,1700.44
3652,CUST0422,2025-06-30,1545.63
3038,CUST0352,2025-06-30,576.91
5086,CUST0595,2025-06-30,1436.39
2801,CUST0328,2025-06-30,756.03
4424,CUST0510,2025-06-30,575.22
622,CUST0071,2025-06-30,1226.55
4604,CUST0536,2025-06-30,559.83
3929,CUST0447,2025-06-30,1551.23
4926,CUST0578,2025-06-30,351.79
2639,CUST0309,2025-06-30,525.2
3078,CUST0356,2025-07-01,1121.78
1377,CUST0155,2025-07-01,1331.84
3101,CUST0359,2025-07-01,996.72
2023,CUST0230,2025-07-01,1083.25
2994,CUST0346,2025-07-01,1081.38
3926,CUST0446,2025-07-01,369.75
3515,CUST0406,2025-07-01,1211.96
4513,CUST0519,2025-07-01,854.95
3466,CUST0399,2025-07-01,1179.97
4422,CUST0509,2025-07-01,1275.62
3854,CUST0439,2025-07-01,825.04
1434,CUST0163,2025-07-01,1709.83
4263,CUST0484,2025-07-01,1544.02
2150,CUST0249,2025-07-01,1462.44
452,CUST0052,2025-07-01,582.76
4777,CUST0560,2025-07-01,972.19
456,CUST0053,2025-07-01,636.2
459,CUST0054,2025-07-01,1334.47
741,CUST0082,2025-07-01,838.49
2555,CUST0299,2025-07-01,576.27
2767,CUST0323,2025-07-01,1409.64
858,CUST0093,2025-07-01,1436.57
864,CUST0095,2025-07-01,319.9
2336,CUST0274,2025-07-01,1041.75
2759,CUST0322,2025-07-01,1444.29
3384,CUST0385,2025-07-01,1156.15
3385,CUST0386,2025-07-01,1754.43
852,CUST0092,2025-07-01,368.95
4153,CUST0468,2025-07-01,625.97
2783,CUST0325,2025-07-01,1041.51
4585,CUST0530,2025-07-02,253.47
443,CUST0051,2025-07-02,469.51
3631,CUST0419,2025-07-02,871.98
2299,CUST0268,2025-07-02,440.37
4420,CUST0508,2025-07-02,973.75
2149,CUST0249,2025-07-02,464.8
226,CUST0026,2025-07-02,419.05
1953,CUST0221,2025-07-02,1319.95
865,CUST0095,2025-07-02,1063.05
407,CUST0044,2025-07-02,923.52
1092,CUST0122,2025-07-02,827.93
4584,CUST0530,2025-07-02,719.68
444,CUST0051,2025-07-02,1067.78
308,CUST0036,2025-07-02,1721.38
1651,CUST0186,2025-07-02,1123.47
2204,CUST0258,2025-07-02,1748.48
1304,CUST0147,2025-07-02,322.73
334,CUST0039,2025-07-02,1116.86
665,CUST0074,2025-07-03,395.8
1657,CUST0187,2025-07-03,509.5
2096,CUST0241,2025-07-03,1681.7
4211,CUST0474,2025-07-03,1087.36
1070,CUST0117,2025-07-03,1722.29
823,CUST0089,2025-07-03,815.22
3412,CUST0390,2025-07-03,1045.73
1219,CUST0135,2025-07-03,895.05
450,CUST0052,2025-07-03,1875.96
451,CUST0052,2025-07-03,1888.54
1140,CUST0127,2025-07-03,1718.73
4782,CUST0561,2025-07-03,1703.64
1658,CUST0187,2025-07-03,1617.74
664,CUST0074,2025-07-03,1027.63
3647,CUST0421,2025-07-03,737.1
822,CUST0089,2025-07-03,1282.28
1241,CUST0140,2025-07-03,1056.04
2363,CUST0280,2025-07-03,831.82
4132,CUST0465,2025-07-03,1492.75
738,CUST0081,2025-07-03,642.31
4189,CUST0472,2025-07-03,1013.06
4253,CUST0482,2025-07-03,1394.25
2004,CUST0227,2025-07-04,1673.11
955,CUST0102,2025-07-04,992.08
4878,CUST0572,2025-07-04,660.71
4304,CUST0490,2025-07-04,1351.51
5092,CUST0597,2025-07-04,1407.03
3372,CUST0383,2025-07-04,365.22
2100,CUST0243,2025-07-04,1159.0
1797,CUST0204,2025-07-04,328.98
2086,CUST0239,2025-07-04,628.37
4507,CUST0518,2025-07-04,1314.87
2621,CUST0305,2025-07-04,384.76
2704,CUST0314,2025-07-04,1410.46
1585,CUST0179,2025-07-04,1290.16
3905,CUST0442,2025-07-04,703.33
2368,CUST0281,2025-07-04,1308.67
2199,CUST0257,2025-07-04,664.07
2209,CUST0258,2025-07-04,969.95
815,CUST0087,2025-07-04,1318.26
1345,CUST0151,2025-07-05,1053.2
2153,CUST0250,2025-07-05,1572.7
3042,CUST0353,2025-07-05,697.97
4419,CUST0508,2025-07-05,229.64
3407,CUST0389,2025-07-05,583.61
4701,CUST0548,2025-07-05,572.13
1898,CUST0212,2025-07-05,1843.63
4711,CUST0550,2025-07-05,912.55
1736,CUST0197,2025-07-05,411.88
1061,CUST0115,2025-07-05,711.22
3757,CUST0432,2025-07-05,1299.25
1636,CUST0184,2025-07-05,1450.58
447,CUST0052,2025-07-05,1333.44
2340,CUST0277,2025-07-05,1598.56
1755,CUST0200,2025-07-05,728.93
3814,CUST0436,2025-07-05,409.71
2286,CUST0266,2025-07-05,1077.0
4391,CUST0504,2025-07-06,452.33
4215,CUST0476,2025-07-06,401.69
2625,CUST0306,2025-07-06,1322.18
2003,CUST0227,2025-07-06,1553.05
4884,CUST0572,2025-07-06,394.48
1558,CUST0175,2025-07-06,1972.06
69,CUST0008,2025-07-06,1036.9
4303,CUST0490,2025-07-06,312.81
4586,CUST0530,2025-07-06,920.61
4168,CUST0470,2025-07-06,1345.86
594,CUST0068,2025-07-06,1454.15
4428,CUST0510,2025-07-06,1390.85
4437,CUST0511,2025-07-06,1110.03
966,CUST0105,2025-07-06,962.3
3756,CUST0432,2025-07-06,1785.04
2498,CUST0293,2025-07-06,228.27
1802,CUST0205,2025-07-06,1453.43
3517,CUST0406,2025-07-06,982.75
3700,CUST0428,2025-07-07,584.5
1656,CUST0187,2025-07-07,827.06
4451,CUST0514,2025-07-07,548.65
1665,CUST0190,2025-07-07,570.58
3141,CUST0368,2025-07-07,842.9
3933,CUST0448,2025-07-07,1467.48
4588,CUST0532,2025-07-07,1299.1
4416,CUST0507,2025-07-07,453.19
72,CUST0008,2025-07-07,803.11
3985,CUST0454,2025-07-07,926.67
5087,CUST0595,2025-07-07,1427.99
4170,CUST0470,2025-07-07,892.48
3442,CUST0394,2025-07-07,1449.86
2830,CUST0331,2025-07-07,830.96
3367,CUST0382,2025-07-07,682.85
2785,CUST0325,2025-07-08,747.5
2248,CUST0261,2025-07-08,1308.2
2640,CUST0309,2025-07-08,1228.62
3906,CUST0442,2025-07-08,1724.23
3848,CUST0438,2025-07-08,1659.0
4700,CUST0548,2025-07-08,1166.89
1756,CUST0200,2025-07-08,1410.01
1744,CUST0198,2025-07-08,1486.55
3451,CUST0396,2025-07-08,901.28
1413,CUST0160,2025-07-08,1475.06
4544,CUST0525,2025-07-08,796.81
5085,CUST0595,2025-07-08,697.87
617,CUST0071,2025-07-08,1224.83
3443,CUST0394,2025-07-08,1540.18
3755,CUST0432,2025-07-08,1334.96
2760,CUST0322,2025-07-08,666.29
1138,CUST0127,2025-07-08,630.15
2765,CUST0323,2025-07-08,1429.52
2284,CUST0265,2025-07-08,275.29
2174,CUST0253,2025-07-08,724.61
3925,CUST0446,2025-07-08,869.01
405,CUST0044,2025-07-08,1049.87
3634,CUST0420,2025-07-09,1649.62
4450,CUST0514,2025-07-09,999.96
463,CUST0056,2025-07-09,379.69
1749,CUST0199,2025-07-09,1037.7
2253,CUST0262,2025-07-09,1278.46
109,CUST0013,2025-07-09,1484.57
2099,CUST0242,2025-07-09,1055.29
3592,CUST0412,2025-07-09,1236.52
460,CUST0054,2025-07-09,496.37
455,CUST0053,2025-07-09,1176.53
2083,CUST0239,2025-07-09,1321.61
3851,CUST0439,2025-07-09,1590.11
1051,CUST0113,2025-07-09,1633.72
4243,CUST0481,2025-07-09,1376.58
2359,CUST0279,2025-07-09,1055.47
4608,CUST0536,2025-07-09,936.33
2614,CUST0304,2025-07-09,536.81
1089,CUST0122,2025-07-09,1642.21
1666,CUST0190,2025-07-09,1333.51
1634,CUST0183,2025-07-09,1683.07
4901,CUST0575,2025-07-09,592.46
1068,CUST0117,2025-07-09,1566.06
2331,CUST0272,2025-07-09,1132.97
671,CUST0076,2025-07-09,1984.91
4509,CUST0518,2025-07-09,764.81
2705,CUST0315,2025-07-09,1200.15
3450,CUST0396,2025-07-09,920.04
4927,CUST0578,2025-07-09,628.55
1914,CUST0215,2025-07-09,1613.54
4266,CUST0484,2025-07-10,1243.51
3000,CUST0347,2025-07-10,1269.32
4699,CUST0548,2025-07-10,840.9
3902,CUST0442,2025-07-10,1635.87
1758,CUST0201,2025-07-10,1843.15
3041,CUST0353,2025-07-10,1609.39
4154,CUST0468,2025-07-10,1027.44
593,CUST0068,2025-07-10,1753.2
3936,CUST0448,2025-07-10,1244.7
1746,CUST0198,2025-07-10,498.62
3919,CUST0445,2025-07-10,1047.43
3328,CUST0379,2025-07-10,652.62
4394,CUST0505,2025-07-10,527.7
3142,CUST0368,2025-07-10,1372.32
4367,CUST0500,2025-07-11,1745.76
5091,CUST0597,2025-07-11,1525.14
2156,CUST0250,2025-07-11,348.34
1940,CUST0218,2025-07-11,392.59
614,CUST0070,2025-07-11,515.95
